Lactobacillus: Hypertension, Thyroid carcinoma, Infantile eczema, Major depressive disorder, Hepatocellular cancer, Coronary artery disease, Multiple Sclerosis, Alcoholism, Inflammatory Bowel Disease, Ankylosing spondylitis, Cholestasis, Hepatitis B, Type 1 Diabetes, Non-alcoholic fatty liver disease, Alzheimer's Disease, Primary sclerosing cholangitis, Autism spectrum disorders, Pancreatic cancer, Chronic kidney disease, Primary biliary cholangitis
Ramularia: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Cystic Fibrosis, Autism, Cirrhosis, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Kluyvera ascorbata: Parkinson's Disease, Crohn's Disease, Colorectal cancer, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Uveitits, Autism spectrum disorders, Aerobic vaginitis, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease
Bacteroides nordii: Parkinson's Disease, Crohn's Disease, Type 2 Diabetes, Colorectal cancer, Caries, Ulcerative Colitis, periodontitis, Psoriasis, Obesity, Schizophrenia, Autism, Cirrhosis, Cystic Fibrosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Chronic Obstructive Pulmonary Disease, Rheumatoid Arthritis, Oral cancer
Mycosphaerella: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Uveitits, Autism, Asthma, Aerobic vaginitis, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Breast cancer
Ganoderma: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Azoospermia, Irritable Bowel Syndrome
Exidia: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Autism spectrum disorders, Azoospermia
Pilatoporus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Autism spectrum disorders, Azoospermia
Engyodontium: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Clostridium difficile associated disease, Azoospermia
Eggerthella sinensis: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Fournierella: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Desulfohalobium: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Cystic Fibrosis, Aerobic vaginitis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Pseudocitrobacter: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Youngiibacter: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Carboxydothermus: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Hwanghaeicola: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Constrictibacter: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Nitriliruptor: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Dichelobacter: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Hydrogenoanaerobacterium: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Human herpesvirus 6: Colorectal cancer, Caries, periodontitis, Parkinson's Disease, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Aerobic vaginitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Opisthorchis felineus infection, Azoospermia
Mycoplasma pneumoniae: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Clostridium difficile associated disease, Irritable Bowel Syndrome
Pseudomonas putida: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Autism spectrum disorders, Azoospermia
Amphritea: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Autism spectrum disorders, Azoospermia
Candidatus saccharibacteria bacterium: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Uveitits, Cystic Fibrosis, Cirrhosis, Autism, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Anaerococcus hydrogenalis: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Gemella asaccharolytica: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Clostridium difficile associated disease, Irritable Bowel Syndrome
Veillonella montpellierensis: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Clostridium difficile associated disease
Eubacterium cellulosolvens: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Clostridium difficile associated disease
Sneathia amnii: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Anaerococcus prevotii: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Clostridium difficile associated disease
Streptococcus lutetiensis: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Clostridium difficile associated disease
Lactobacillus helveticus: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Autism spectrum disorders, Azoospermia
Lactobacillus amylolyticus: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Clostridium difficile associated disease
Lactobacillus acetotolerans: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Clostridium difficile associated disease, Azoospermia
Anaerococcus degenerii: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Keratinibaculum paraultunense: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Cystic Fibrosis, Autism, Cirrhosis, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Delftia tsuruhatensis: Parkinson's Disease, Colorectal cancer, Crohn's Disease, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Uveitits, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Oscillibacter valericigenes: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Leuconostoc holzapfelii: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Clostridium difficile associated disease, Azoospermia
Leuconostoc citreum: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Butyrivibrio crossotus: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Uveitits, Cystic Fibrosis, Autism, Cirrhosis, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Terrisporobacter: periodontitis, Type 2 Diabetes, Caries, Parkinson's Disease, Colorectal cancer, Crohn's Disease, Obesity, Psoriasis, Ulcerative Colitis, Cystic Fibrosis, Schizophrenia, Cirrhosis, HIV infection, Asthma, Autism, Irritable Bowel Syndrome, Aerobic vaginitis, Aggressive periodontitis, Autism spectrum disorders, Uveitits
Staphylococcus xylosus: Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, periodontitis, Caries, Colorectal cancer, Ulcerative Colitis, Obesity, Psoriasis, Cystic Fibrosis, Schizophrenia, Cirrhosis, Autism, Asthma, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Aerobic vaginitis, Chronic Obstructive Pulmonary Disease, Aggressive periodontitis
Lactobacillus oris: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Clostridium difficile associated disease
Alkaliphilus oremlandii: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Cronobacter sakazaki: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Clostridium sartagoforme: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Bacteroides barnesiae: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, Type 2 Diabetes, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cystic Fibrosis, Cirrhosis, Asthma, Uveitits, HIV infection, Aerobic vaginitis, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Lysinibacillus boronitolerans: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Uveitits, Cystic Fibrosis, Autism, Cirrhosis, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Oerskovia: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Azoospermia, Irritable Bowel Syndrome
Planococcus: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Clostridium difficile associated disease, Azoospermia
Ramlibacter: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Clostridium difficile associated disease, Irritable Bowel Syndrome
Neorhizobium: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Citrobacter koseri: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Autism, Cystic Fibrosis, Cirrhosis, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Lactobacillus antri: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, Type 2 Diabetes, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Uveitits, Cystic Fibrosis, Autism, Cirrhosis, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Faecalitalea: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Autism, Cystic Fibrosis, Cirrhosis, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
